Year;VotingSet;AwardedTo;AwardedBy;Points
2021;SF1_Tele;Israel;Romania;10
2021;SF1_Tele;Israel;Azerbaijan;12
2021;SF1_Tele;Israel;Ukraine;7
2021;SF1_Tele;Israel;Malta;5
2021;SF1_Tele;Israel;Germany;5
2021;SF1_Tele;Israel;Italy;3
2021;SF1_Tele;Israel;Netherlands;6
2021;SF1_Tele;Romania;Lithuania;0
2021;SF1_Tele;Romania;Slovenia;0
2021;SF1_Tele;Romania;Russia;0
2021;SF1_Tele;Romania;Sweden;0
2021;SF1_Tele;Romania;Australia;0
2021;SF1_Tele;Romania;North Macedonia;0
2021;SF1_Tele;Romania;Ireland;3
2021;SF1_Tele;Romania;Cyprus;5
2021;SF1_Tele;Romania;Norway;0
2021;SF1_Tele;Romania;Croatia;0
2021;SF1_Tele;Romania;Belgium;1
2021;SF1_Tele;Romania;Israel;0
2021;SF1_Tele;Romania;Romania;NA
2021;SF1_Tele;Romania;Azerbaijan;5
2021;SF1_Tele;Romania;Ukraine;0
2021;SF1_Tele;Romania;Malta;3
2021;SF1_Tele;Romania;Germany;0
2021;SF1_Tele;Romania;Italy;10
2021;SF1_Tele;Romania;Netherlands;0
2021;SF1_Tele;Azerbaijan;Lithuania;3
2021;SF1_Tele;Azerbaijan;Slovenia;3
2021;SF1_Tele;Azerbaijan;Russia;10
2021;SF1_Tele;Azerbaijan;Sweden;1
2021;SF1_Tele;Azerbaijan;Australia;1
2021;SF1_Tele;Azerbaijan;North Macedonia;7
2021;SF1_Tele;Azerbaijan;Ireland;0
2021;SF1_Tele;Azerbaijan;Cyprus;4
2021;SF1_Tele;Azerbaijan;Norway;6
2021;SF1_Tele;Azerbaijan;Croatia;8
2021;SF1_Tele;Azerbaijan;Belgium;5
2021;SF1_Tele;Azerbaijan;Israel;7
2021;SF1_Tele;Azerbaijan;Romania;7
2021;SF1_Tele;Azerbaijan;Azerbaijan;NA
2021;SF1_Tele;Azerbaijan;Ukraine;10
2021;SF1_Tele;Azerbaijan;Malta;8
2021;SF1_Tele;Azerbaijan;Germany;2
